# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21 yFree nSoleCut nSoleAcc nAccSims nFullSims isDup isFake nPartner
1 32 3120 2706 2 1 -0.0746302 1.7799 0.00188643 0.00160882 90.9774 -0.0829839 14.7098 -0.0591072 -0.0591072 4.65277 7 14 39.8361 0.277049 1.86399 4 36 1 0 0 1 50 1 0 0 0 1 0 0 0
1 32 3120 983 10 0 0.0866008 0.753663 0.000988901 0.00139096 0.217326 0.0702619 3.31366 6.24515 6.24515 -30 6 12 36.7064 0.0587744 0.768536 4 1 1 0 1 3 1 1 0 0 0 1 1 0 1
1 32 3120 806 17 0 -0.00980948 0.0822103 0.000333248 0.00166806 7.50074e-09 0.0848275 1.60685 5.78787 5.78787 -30 6 12 36.2188 -0.0236212 0.109235 4 2 1 1 0 2 3 1 0 0 0 1 1 0 1
1 32 3120 809 17 1 -0.00212601 0.0196581 0.000291579 0.00156185 0.000397791 0.0832403 3.83927 4.50352 4.50352 -30 6 12 36.2188 -0.0236212 0.109235 4 1 1 0 1 3 3 1 0 0 0 1 0 0 0
1 32 3120 115 18 0 -0.0361518 0.0162352 0.000273201 0.00170908 0.000417794 0.0895509 1.06623 5.64071 5.64071 -30 6 12 36.1802 -0.0500503 0.0345388 4 1 1 0 1 2 1 1 0 0 0 1 1 0 1
1 32 3120 852 19 0 -0.0431989 0.701457 0.00118108 0.0018199 3.3606 0.0945704 4.54297 4.88544 4.91132 -30 6 12 36.1547 -0.0715353 0.754139 4 1 1 0 1 2 1 1 0 0 0 1 1 0 1
1 32 3120 830 22 0 0.140876 0.733894 0.000865649 0.00123769 0.000726891 0.0613253 0.505582 6.03321 6.03321 -30 6 12 36.085 0.108758 0.712961 4 1 1 0 1 1 1 1 0 0 0 1 1 0 1
1 32 3120 176 39 0 -0.064664 0.487048 0.000835952 0.00171848 0.276994 0.0986598 2.97965 5.08914 5.08914 -30 6 12 35.6284 -0.0859686 0.513525 4 1 1 0 1 1 1 1 0 0 0 1 1 0 1
1 32 3120 715 47 0 0.278922 0.70682 0.000631792 0.000841083 0.000248195 0.0449099 0.450669 6.33922 6.33922 -30 6 12 35.4191 0.249014 0.671154 4 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 722 47 0 -0.0565956 0.553351 0.00092555 0.00168241 10.1518 0.0980405 7.90936 -2.45961 6.07661 -30 6 12 35.4191 0.249014 0.671154 4 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 308 57 1 0.0243853 0.715697 0.00101992 0.0015401 0.00107926 0.0826563 1.6342 -3.23818 2.02781 3.63565 6 12 35.2199 0.096357 0.818273 4 1 1 0 1 1 1 1 0 0 0 1 0 0 0
1 32 3120 553 63 0 0.0514992 0.00671017 0.000325211 0.00145471 0.000378313 -0.0742451 1.28648 6.68092 6.68092 -30 6 12 35.0876 0.0387034 0.0217048 4 1 1 0 1 2 1 1 0 0 0 1 1 0 1
